id,pokemon,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape
1,bulbasaur,1,7,69,64,grass,poison,49,49,45,65,65,45,overgrow,,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,1.png,1,,1,8,quadruped
2,ivysaur,2,10,130,142,grass,poison,62,63,60,80,80,60,overgrow,,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,2.png,1,1,1,8,quadruped
3,venusaur,3,20,1000,236,grass,poison,82,83,80,100,100,80,overgrow,,chlorophyll,#78C850,#A040A0,#81A763,monster,plant,3.png,1,2,1,8,quadruped
4,charmander,4,6,85,62,fire,,52,43,39,60,50,65,blaze,,solar-power,#F08030,,,monster,dragon,4.png,1,,2,6,upright
5,charmeleon,5,11,190,142,fire,,64,58,58,80,65,80,blaze,,solar-power,#F08030,,,monster,dragon,5.png,1,4,2,6,upright
6,charizard,6,17,905,240,fire,flying,84,78,78,109,85,100,blaze,,solar-power,#F08030,#A890F0,#DE835E,monster,dragon,6.png,1,5,2,6,upright
7,squirtle,7,5,90,63,water,,48,65,44,50,64,43,torrent,,rain-dish,#6890F0,,,monster,water1,7.png,1,,3,6,upright
8,wartortle,8,10,225,142,water,,63,80,59,65,80,58,torrent,,rain-dish,#6890F0,,,monster,water1,8.png,1,7,3,6,upright
9,blastoise,9,16,855,239,water,,83,100,79,85,105,78,torrent,,rain-dish,#6890F0,,,monster,water1,9.png,1,8,3,6,upright
10,caterpie,10,3,29,39,bug,,30,35,45,20,20,45,shield-dust,,run-away,#A8B820,,,bug,,10.png,1,,4,2,squiggle
11,metapod,11,7,99,72,bug,,20,55,50,25,25,30,shed-skin,,,#A8B820,,,bug,,11.png,1,10,4,2,squiggle
12,butterfree,12,11,320,178,bug,flying,45,50,60,90,80,70,compound-eyes,,tinted-lens,#A8B820,#A890F0,#A8AE52,bug,,12.png,1,11,4,13,bug-wings
13,weedle,13,3,32,39,bug,poison,35,30,40,20,20,50,shield-dust,,run-away,#A8B820,#A040A0,#A69A3F,bug,,13.png,1,,5,2,squiggle
14,kakuna,14,6,100,72,bug,poison,25,50,45,25,25,35,shed-skin,,,#A8B820,#A040A0,#A69A3F,bug,,14.png,1,13,5,2,squiggle
15,beedrill,15,10,295,178,bug,poison,90,40,65,45,80,75,swarm,,sniper,#A8B820,#A040A0,#A69A3F,bug,,15.png,1,14,5,13,bug-wings
16,pidgey,16,3,18,50,normal,flying,45,40,40,35,35,56,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,,16.png,1,,6,9,wings
17,pidgeotto,17,11,300,122,normal,flying,60,55,63,50,50,71,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,,17.png,1,16,6,9,wings
18,pidgeot,18,15,395,216,normal,flying,80,75,83,70,70,101,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,,18.png,1,17,6,9,wings
19,rattata,19,3,35,51,normal,,56,35,30,25,35,72,run-away,guts,hustle,#A8A878,,,ground,,19.png,1,,7,8,quadruped
20,raticate,20,7,185,145,normal,,81,60,55,50,70,97,run-away,guts,hustle,#A8A878,,,ground,,20.png,1,19,7,8,quadruped
21,spearow,21,3,20,52,normal,flying,60,30,40,31,31,70,keen-eye,,sniper,#A8A878,#A890F0,#A8A295,flying,,21.png,1,,8,9,wings
22,fearow,22,12,380,155,normal,flying,90,65,65,61,61,100,keen-eye,,sniper,#A8A878,#A890F0,#A8A295,flying,,22.png,1,21,8,9,wings
23,ekans,23,20,69,58,poison,,60,44,35,40,54,55,intimidate,shed-skin,unnerve,#A040A0,,,ground,dragon,23.png,1,,9,2,squiggle
24,arbok,24,35,650,153,poison,,85,69,60,65,79,80,intimidate,shed-skin,unnerve,#A040A0,,,ground,dragon,24.png,1,23,9,2,squiggle
25,pikachu,25,4,60,112,electric,,55,40,35,50,50,90,static,,lightning-rod,#F8D030,,,ground,fairy,25.png,1,172,10,8,quadruped
